objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1.23765E+18,183.5313257,0.08969303,19.47406,17.0424,15.94699,15.50342,15.22531,752,301,4,267,3.72236E+18,STAR,-8.96E-06,3306,54922,491
1.23765E+18,183.5983705,0.135285032,18.6628,17.21449,16.67637,16.48922,16.3915,752,301,4,267,3.63814E+17,STAR,-5.49E-05,323,51615,541
1.23765E+18,183.6802074,0.126185092,19.38298,18.19169,17.47428,17.08732,16.80125,752,301,4,268,3.23274E+17,GALAXY,0.1231112,287,52023,513
1.23765E+18,183.8705294,0.049910685,17.76536,16.60272,16.16116,15.98233,15.90438,752,301,4,269,3.72237E+18,STAR,-0.000110616,3306,54922,510
1.23765E+18,183.8832883,0.102556752,17.55025,16.26342,16.43869,16.55492,16.61326,752,301,4,269,3.72237E+18,STAR,0.000590357,3306,54922,512
1.23765E+18,183.8471736,0.173694164,19.43133,18.46779,18.16451,18.01475,18.04155,752,301,4,269,3.64955E+17,STAR,0.000314603,324,51666,594
1.23765E+18,183.864379,0.019200711,19.38322,17.88995,17.10537,16.66393,16.36955,752,301,4,269,3.23287E+17,GALAXY,0.1002423,287,52023,559
1.23765E+18,183.9000814,0.187473297,18.97993,17.84496,17.38022,17.20673,17.07071,752,301,4,269,3.72237E+18,STAR,0.000314848,3306,54922,515
1.23765E+18,183.9245885,0.097245782,17.90616,16.97172,16.67541,16.53776,16.47596,752,301,4,270,3.63829E+17,STAR,8.91E-05,323,51615,595
1.23765E+18,183.9734977,0.081625582,18.67249,17.71375,17.49362,17.28284,17.22644,752,301,4,270,3.24369E+17,GALAXY,0.04050813,288,52000,400
1.23765E+18,183.9791945,0.135997822,19.29772,17.80227,17.18266,16.92335,16.79928,752,301,4,270,3.72236E+18,STAR,-3.46E-05,3306,54922,506
1.23765E+18,184.0853311,0.112110022,18.83307,17.51785,16.94273,16.71418,16.60521,752,301,4,271,3.72238E+18,STAR,0.000622774,3306,54922,547
1.23765E+18,184.1020979,0.191510916,19.5625,18.19113,17.65759,17.47573,17.39203,752,301,4,271,3.72237E+18,STAR,5.47E-05,3306,54922,544
1.23765E+18,184.1605102,0.075645313,19.5799,17.72815,16.9874,16.68076,16.50426,752,301,4,271,3.72238E+18,STAR,8.30E-06,3306,54922,546
